location_name,location_id,sensor_id,utc_timestamp,local_timestamp,pm25_value,parameter,unit
Near Puregold Tayuman,6303935,15922109,2026-04-17T19:00:00Z,2026-04-18T03:00:00+08:00,53.5,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-17T20:00:00Z,2026-04-18T04:00:00+08:00,68.0,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-17T22:00:00Z,2026-04-18T06:00:00+08:00,32.1,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-17T23:00:00Z,2026-04-18T07:00:00+08:00,30.7,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-18T01:00:00Z,2026-04-18T09:00:00+08:00,37.5,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-18T04:00:00Z,2026-04-18T12:00:00+08:00,52.4,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-18T05:00:00Z,2026-04-18T13:00:00+08:00,43.8,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-18T06:00:00Z,2026-04-18T14:00:00+08:00,45.0,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-18T07:00:00Z,2026-04-18T15:00:00+08:00,40.3,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-18T08:00:00Z,2026-04-18T16:00:00+08:00,40.3,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-18T09:00:00Z,2026-04-18T17:00:00+08:00,45.2,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-18T10:00:00Z,2026-04-18T18:00:00+08:00,41.4,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-18T11:00:00Z,2026-04-18T19:00:00+08:00,80.1,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-18T12:00:00Z,2026-04-18T20:00:00+08:00,80.7,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-18T13:00:00Z,2026-04-18T21:00:00+08:00,76.7,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-18T14:00:00Z,2026-04-18T22:00:00+08:00,69.0,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-18T16:00:00Z,2026-04-19T00:00:00+08:00,33.9,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-18T17:00:00Z,2026-04-19T01:00:00+08:00,26.8,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-18T19:00:00Z,2026-04-19T03:00:00+08:00,24.2,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-18T20:00:00Z,2026-04-19T04:00:00+08:00,23.7,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-18T21:00:00Z,2026-04-19T05:00:00+08:00,27.3,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-18T22:00:00Z,2026-04-19T06:00:00+08:00,27.7,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-18T23:00:00Z,2026-04-19T07:00:00+08:00,34.7,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-19T02:00:00Z,2026-04-19T10:00:00+08:00,40.8,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-19T03:00:00Z,2026-04-19T11:00:00+08:00,35.8,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-19T04:00:00Z,2026-04-19T12:00:00+08:00,33.3,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-19T05:00:00Z,2026-04-19T13:00:00+08:00,31.6,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-19T07:00:00Z,2026-04-19T15:00:00+08:00,33.7,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-19T08:00:00Z,2026-04-19T16:00:00+08:00,32.3,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-19T09:00:00Z,2026-04-19T17:00:00+08:00,36.8,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-19T10:00:00Z,2026-04-19T18:00:00+08:00,40.3,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-19T12:00:00Z,2026-04-19T20:00:00+08:00,52.2,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-19T13:00:00Z,2026-04-19T21:00:00+08:00,66.7,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-19T14:00:00Z,2026-04-19T22:00:00+08:00,58.2,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-19T15:00:00Z,2026-04-19T23:00:00+08:00,47.5,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-19T16:00:00Z,2026-04-20T00:00:00+08:00,33.1,PM2.5,µg/m³
